sucursal,producto,semana,y_real,probabilidad,magnitud,umbral,y_pred,Modelo
9,ENALAPRIL 10MG,2026-01-18,0.0,0.104990505,1.1934738,0.5,0.0,TwoStage
9,METFORMINA 850MG,2026-01-18,0.0,0.12712921,1.3203336,0.5,0.0,TwoStage
9,PARACETAMOL 500MG,2026-01-18,0.0,0.15299313,1.2971951,0.5,0.0,TwoStage
9,VITAMINA C+ZINC+D3,2026-01-18,0.0,0.3569092,1.8941833,0.5,0.0,TwoStage
10,AMOXICILINA 500MG,2026-01-18,0.0,0.029879782,1.1817704,0.5,0.0,TwoStage
10,AZITROMICINA 500MG,2026-01-18,0.0,0.07788742,1.1817704,0.5,0.0,TwoStage
10,DIMENHIDRINATO 50MG,2026-01-18,0.0,0.014772549,1.1817704,0.5,0.0,TwoStage
10,ENALAPRIL 10MG,2026-01-18,0.0,0.16783515,1.0780492,0.5,0.0,TwoStage
10,IBUPROFENO TABX800,2026-01-18,0.0,0.012120696,1.1817704,0.5,0.0,TwoStage
10,METFORMINA 850MG,2026-01-18,0.0,0.12712921,1.204909,0.5,0.0,TwoStage
10,PARACETAMOL 500MG,2026-01-18,0.0,0.1072419,1.1817704,0.5,0.0,TwoStage
10,VITAMINA C+ZINC+D3,2026-01-18,1.0,0.53941846,1.9771818,0.5,1.9771818,TwoStage
11,AMOXICILINA 500MG,2026-01-18,0.0,0.025896909,1.1526179,0.5,0.0,TwoStage
11,AZITROMICINA 500MG,2026-01-18,0.0,0.02048542,1.1526179,0.5,0.0,TwoStage
11,DIMENHIDRINATO 50MG,2026-01-18,0.0,0.013205344,1.1526179,0.5,0.0,TwoStage
11,ENALAPRIL 10MG,2026-01-18,0.0,0.09194454,1.0488967,0.5,0.0,TwoStage
11,IBUPROFENO TABX800,2026-01-18,0.0,0.011747495,1.1526179,0.5,0.0,TwoStage
11,METFORMINA 850MG,2026-01-18,0.0,0.044395156,1.1757565,0.5,0.0,TwoStage
11,PARACETAMOL 500MG,2026-01-18,0.0,0.08379612,1.1526179,0.5,0.0,TwoStage
11,VITAMINA C+ZINC+D3,2026-01-18,2.0,0.32340792,1.40702,0.5,0.0,TwoStage
12,AMOXICILINA 500MG,2026-01-18,0.0,0.029879782,1.2971951,0.5,0.0,TwoStage
12,AZITROMICINA 500MG,2026-01-18,0.0,0.023656232,1.2971951,0.5,0.0,TwoStage
12,DIMENHIDRINATO 50MG,2026-01-18,0.0,0.014772549,1.2971951,0.5,0.0,TwoStage
12,ENALAPRIL 10MG,2026-01-18,0.0,0.11866769,1.1934738,0.5,0.0,TwoStage
12,IBUPROFENO TABX800,2026-01-18,0.0,0.012120696,1.2971951,0.5,0.0,TwoStage
12,METFORMINA 850MG,2026-01-18,0.0,0.10017464,1.3929027,0.5,0.0,TwoStage
12,PARACETAMOL 500MG,2026-01-18,0.0,0.029879782,1.2971951,0.5,0.0,TwoStage
12,VITAMINA C+ZINC+D3,2026-01-18,0.0,0.41709203,1.8043185,0.5,0.0,TwoStage
13,AMOXICILINA 500MG,2026-01-18,0.0,0.029879782,1.099021,0.5,0.0,TwoStage
13,AZITROMICINA 500MG,2026-01-18,0.0,0.023656232,1.099021,0.5,0.0,TwoStage
13,DIMENHIDRINATO 50MG,2026-01-18,0.0,0.039012335,1.1715901,0.5,0.0,TwoStage
13,ENALAPRIL 10MG,2026-01-18,0.0,0.13655111,1.069258,0.5,0.0,TwoStage
13,IBUPROFENO TABX800,2026-01-18,0.0,0.012120696,1.099021,0.5,0.0,TwoStage
13,METFORMINA 850MG,2026-01-18,0.0,0.051073838,1.1221595,0.5,0.0,TwoStage
13,OMEPRAZOL 20MG,2026-01-18,0.0,0.029879782,1.099021,0.5,0.0,TwoStage
13,PARACETAMOL 500MG,2026-01-18,0.0,0.029879782,1.099021,0.5,0.0,TwoStage
13,VITAMINA C+ZINC+D3,2026-01-18,0.0,0.34629926,1.4348884,0.5,0.0,TwoStage
14,AZITROMICINA 500MG,2026-01-18,0.0,0.023656232,1.2971951,0.5,0.0,TwoStage
14,DIMENHIDRINATO 50MG,2026-01-18,0.0,0.014772549,1.2971951,0.5,0.0,TwoStage
