sucursal,producto,Modelo,MAE,RMSE,R2,Observaciones,Series,Varianza_y_real,SST,Porcentaje_ceros_test,R2_estado,Advertencias,clasificacion_demanda,grupo_demanda,porcentaje_ceros
11,VITAMINA C+ZINC+D3,ARIMA (Optimizado ADF/AIC),0.752960433312274,0.9305953340070111,-0.3432331820585688,27,1,0.644718792866941,17.40740740740741,37.03703703703704,definido,una_sola_serie,intermitente,mayor_intermitencia,67.0103092783505
11,VITAMINA C+ZINC+D3,Random Forest,0.6514588953081643,0.8450839054094422,-0.10771830305475039,27,1,0.644718792866941,17.40740740740741,37.03703703703704,definido,una_sola_serie,intermitente,mayor_intermitencia,67.0103092783505
11,VITAMINA C+ZINC+D3,Regresión Lineal,0.6559982948735222,0.8389213933136295,-0.09162182325982138,27,1,0.644718792866941,17.40740740740741,37.03703703703704,definido,una_sola_serie,intermitente,mayor_intermitencia,67.0103092783505
11,VITAMINA C+ZINC+D3,XGBoost,0.6818989162091855,0.8651815768038689,-0.16103201755949836,27,1,0.644718792866941,17.40740740740741,37.03703703703704,definido,una_sola_serie,intermitente,mayor_intermitencia,67.0103092783505
12,AMOXICILINA 500MG,ARIMA (Optimizado ADF/AIC),0.03448758317885554,0.18569623413552402,-0.03572428014103579,29,1,0.03329369797859692,0.9655172413793108,96.55172413793103,definido,una_sola_serie,sin_demanda_positiva,sin_demanda_positiva,100.0
12,AMOXICILINA 500MG,Random Forest,0.05594645979171356,0.18708506501996036,-0.05127467594688051,29,1,0.03329369797859692,0.9655172413793108,96.55172413793103,definido,una_sola_serie,sin_demanda_positiva,sin_demanda_positiva,100.0
12,AMOXICILINA 500MG,Regresión Lineal,0.07924077943339622,0.18648653585167158,-0.04455888547777298,29,1,0.03329369797859692,0.9655172413793108,96.55172413793103,definido,una_sola_serie,sin_demanda_positiva,sin_demanda_positiva,100.0
12,AMOXICILINA 500MG,XGBoost,0.07536347936196573,0.186893767704961,-0.049125886508925465,29,1,0.03329369797859692,0.9655172413793108,96.55172413793103,definido,una_sola_serie,sin_demanda_positiva,sin_demanda_positiva,100.0
12,AZITROMICINA 500MG,ARIMA (Optimizado ADF/AIC),0.06037214752237649,0.06128516024474516,,21,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,intermitente,mayor_intermitencia,96.7741935483871
12,AZITROMICINA 500MG,Random Forest,0.023340340487607265,0.023924489107415715,,21,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,intermitente,mayor_intermitencia,96.7741935483871
12,AZITROMICINA 500MG,Regresión Lineal,0.03235627013749569,0.033544148643276414,,21,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,intermitente,mayor_intermitencia,96.7741935483871
12,AZITROMICINA 500MG,XGBoost,0.028878463432192802,0.028878463432192802,,21,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,intermitente,mayor_intermitencia,96.7741935483871
12,DIMENHIDRINATO 50MG,ARIMA (Optimizado ADF/AIC),0.02150042146208386,0.021500421462083856,,29,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,intermitente,mayor_intermitencia,97.84946236559139
12,DIMENHIDRINATO 50MG,Random Forest,0.007517049381273278,0.00754186260110265,,29,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,intermitente,mayor_intermitencia,97.84946236559139
12,DIMENHIDRINATO 50MG,Regresión Lineal,0.02043577957727051,0.023002085088993058,,29,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,intermitente,mayor_intermitencia,97.84946236559139
12,DIMENHIDRINATO 50MG,XGBoost,0.028878463432192802,0.028878463432192802,,29,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,intermitente,mayor_intermitencia,97.84946236559139
12,ENALAPRIL 10MG,ARIMA (Optimizado ADF/AIC),0.32973592401470597,0.5299328351485891,-0.1711158875457417,28,1,0.23979591836734698,6.714285714285715,82.14285714285714,definido,una_sola_serie,intermitente,mayor_intermitencia,84.78260869565217
12,ENALAPRIL 10MG,Random Forest,0.32708914194932887,0.49513250551959626,-0.02235350664540725,28,1,0.23979591836734698,6.714285714285715,82.14285714285714,definido,una_sola_serie,intermitente,mayor_intermitencia,84.78260869565217
12,ENALAPRIL 10MG,Regresión Lineal,0.3495041145534486,0.4991554215230451,-0.03903409420907167,28,1,0.23979591836734698,6.714285714285715,82.14285714285714,definido,una_sola_serie,intermitente,mayor_intermitencia,84.78260869565217
12,ENALAPRIL 10MG,XGBoost,0.3265271189489535,0.5067356620981944,-0.07083153454150448,28,1,0.23979591836734698,6.714285714285715,82.14285714285714,definido,una_sola_serie,intermitente,mayor_intermitencia,84.78260869565217
12,IBUPROFENO TABX800,ARIMA (Optimizado ADF/AIC),4.824558165895706e-06,4.824558165895708e-06,,29,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,sin_demanda_positiva,sin_demanda_positiva,100.0
12,IBUPROFENO TABX800,Random Forest,0.007289835917768424,0.007317135030230152,,29,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,sin_demanda_positiva,sin_demanda_positiva,100.0
12,IBUPROFENO TABX800,Regresión Lineal,0.017331973106597443,0.020045475969092445,,29,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,sin_demanda_positiva,sin_demanda_positiva,100.0
12,IBUPROFENO TABX800,XGBoost,0.028878463432192802,0.028878463432192802,,29,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,sin_demanda_positiva,sin_demanda_positiva,100.0
12,METFORMINA 850MG,ARIMA (Optimizado ADF/AIC),0.10711127978199937,0.1871160472370984,-0.051622897406710555,29,1,0.03329369797859692,0.9655172413793108,96.55172413793103,definido,una_sola_serie,intermitente,mayor_intermitencia,93.10344827586206
12,METFORMINA 850MG,Random Forest,0.17421170811297396,0.24426282730938745,-0.7920607330411673,29,1,0.03329369797859692,0.9655172413793108,96.55172413793103,definido,una_sola_serie,intermitente,mayor_intermitencia,93.10344827586206
